Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
1017,Municipiul Alba Iulia,3.8081666666666667,3.8081666666666667,123.805,12.471666666666666,49.553333333333335,24.761,3.8081666666666667,0.4716666666666667
1071,Ciugud,1.4433870967741935,1.4433870967741935,4.811290322580645,4.811290322580645,645.1612903225806,0.962258064516129,1.4433870967741935,0.0467741935483871
1151,Oras Abrud,2.58421875,2.58421875,8.6140625,8.6140625,34.45625,1.7228124999999999,2.58421875,8.6140625
1213,Municipiul Aiud,11.962727272727273,11.962727272727273,39.875757575757575,39.875757575757575,159.5030303030303,7.9751515151515155,11.962727272727273,39.875757575757575
1348,Municipiul Blaj,9.262058823529411,9.262058823529411,30.873529411764707,30.873529411764707,123.49411764705883,6.174705882352941,9.262058823529411,30.873529411764707
1455,Oras Campeni,3.269571428571428,3.269571428571428,10.898571428571428,10.898571428571428,43.59428571428571,2.1797142857142857,3.269571428571428,10.898571428571428
1696,Oras Cugir,11.153333333333334,11.153333333333334,37.17777777777778,37.17777777777778,148.7111111111111,7.435555555555555,11.153333333333334,37.17777777777778
1794,Oras Ocna Mures,5.935540540540541,5.935540540540541,19.785135135135135,19.785135135135135,79.14054054054054,3.957027027027027,5.935540540540541,19.785135135135135
1874,Municipiul Sebes,12.849473684210526,12.849473684210526,42.83157894736842,42.83157894736842,171.32631578947368,8.566315789473684,12.849473684210526,42.83157894736842
1936,Oras Zlatna,3.0669230769230764,3.0669230769230764,10.223076923076922,10.223076923076922,40.89230769230769,2.0446153846153847,3.0669230769230764,10.223076923076922
2130,Albac,0.7972499999999999,0.7972499999999999,2.6575,2.6575,10.63,0.5315,0.7972499999999999,2.6575
2309,Almasu Mare,0.47085365853658534,0.47085365853658534,1.5695121951219513,1.5695121951219513,6.278048780487805,0.3139024390243902,0.47085365853658534,1.5695121951219513
2381,Arieseni,0.615,0.615,2.05,2.05,8.2,0.41,0.615,2.05
2577,Avram Iancu,0.5441860465116279,0.5441860465116279,1.813953488372093,1.813953488372093,7.255813953488372,0.3627906976744186,0.5441860465116279,1.813953488372093
2915,Oras Baia De Aries,1.3895454545454546,1.3895454545454546,4.631818181818182,4.631818181818182,18.527272727272727,227.27272727272728,1.3895454545454546,4.631818181818182
2988,Berghin,0.6856666666666666,0.6856666666666666,2.2855555555555553,2.2855555555555553,9.142222222222221,0.45711111111111113,0.6856666666666666,2.2855555555555553
3039,Bistra,1.5779347826086956,1.5779347826086956,5.2597826086956525,5.2597826086956525,21.03913043478261,1.0519565217391305,1.5779347826086956,5.2597826086956525
3397,Blandiana,0.30255319148936166,0.30255319148936166,1.0085106382978724,1.0085106382978724,4.034042553191489,0.20170212765957446,0.30255319148936166,1.0085106382978724
3459,Bucium,0.478125,0.478125,1.59375,1.59375,6.375,0.31875,0.478125,1.59375
3761,Cenade,0.3009183673469387,0.3009183673469387,1.0030612244897958,1.0030612244897958,4.012244897959183,0.20061224489795917,0.3009183673469387,1.0030612244897958
3805,Cergau,0.4884,0.4884,1.628,1.628,6.512,0.32560000000000006,0.4884,1.628
3841,Ceru-Bacainti,0.07558823529411764,0.07558823529411764,0.2519607843137255,0.2519607843137255,1.007843137254902,0.0503921568627451,0.07558823529411764,0.2519607843137255
3958,Cetatea De Balta,0.9158653846153846,0.9158653846153846,3.0528846153846154,3.0528846153846154,12.211538461538462,0.6105769230769231,0.9158653846153846,3.0528846153846154
4008,Ciuruleasa,0.33905660377358493,0.33905660377358493,1.130188679245283,1.130188679245283,4.520754716981132,0.2260377358490566,0.33905660377358493,1.130188679245283
4106,Calnic,0.5222222222222223,0.5222222222222223,1.7407407407407407,1.7407407407407407,6.962962962962963,0.34814814814814815,0.5222222222222223,1.7407407407407407
4142,Cricau,0.576,0.576,1.92,1.92,7.68,0.384,0.576,1.92
4188,Craciunelu De Jos,0.5753571428571429,0.5753571428571429,1.917857142857143,1.917857142857143,7.671428571428572,0.38357142857142856,0.5753571428571429,1.917857142857143
4240,Daia Romana,0.8289473684210527,0.8289473684210527,2.763157894736842,2.763157894736842,11.052631578947368,0.5526315789473685,0.8289473684210527,2.763157894736842
4268,Dostat,0.2583620689655172,0.2583620689655172,0.8612068965517241,0.8612068965517241,3.4448275862068964,0.17224137931034483,0.2583620689655172,0.8612068965517241
4302,Farau,0.4126271186440678,0.4126271186440678,1.3754237288135593,1.3754237288135593,5.501694915254237,0.2750847457627119,0.4126271186440678,1.3754237288135593
4366,Galda De Jos,1.102,1.102,3.6733333333333333,3.6733333333333333,14.693333333333333,0.7346666666666667,1.102,3.6733333333333333
4482,Garbova,0.5210655737704919,0.5210655737704919,1.7368852459016393,1.7368852459016393,6.947540983606557,0.34737704918032786,0.5210655737704919,1.7368852459016393
4525,Garda De Sus,0.4103225806451613,0.4103225806451613,1.367741935483871,1.367741935483871,5.470967741935484,0.2735483870967742,0.4103225806451613,1.367741935483871
4703,Hoparta,0.285,0.285,0.95,0.95,3.8,0.19,0.285,0.95
4767,Horea,0.49265625,0.49265625,1.6421875,1.6421875,6.56875,0.3284375,0.49265625,1.6421875
4927,Ighiu,1.5846923076923076,1.5846923076923076,5.282307692307692,5.282307692307692,21.12923076923077,1.0564615384615386,1.5846923076923076,5.282307692307692
4981,Intregalde,0.1425,0.1425,0.475,0.475,1.9,0.095,0.1425,0.475
5103,Jidvei,1.1885820895522388,1.1885820895522388,3.9619402985074625,3.9619402985074625,15.84776119402985,0.7923880597014925,1.1885820895522388,3.9619402985074625
5167,Livezile,0.28036764705882355,0.28036764705882355,0.9345588235294118,0.9345588235294118,3.738235294117647,0.18691176470588236,0.28036764705882355,0.9345588235294118
5210,Lopadea Noua,0.5904347826086956,0.5904347826086956,1.9681159420289855,1.9681159420289855,7.872463768115942,0.39362318840579713,0.5904347826086956,1.9681159420289855
5309,Lunca Muresului,0.5464285714285714,0.5464285714285714,1.8214285714285714,1.8214285714285714,7.285714285714286,0.36428571428571427,0.5464285714285714,1.8214285714285714
5336,Lupsa,0.6705633802816902,0.6705633802816902,2.2352112676056337,2.2352112676056337,8.940845070422535,0.4470422535211267,0.6705633802816902,2.2352112676056337
5577,Metes,0.5902083333333333,0.5902083333333333,1.9673611111111111,1.9673611111111111,7.8694444444444445,0.3934722222222222,0.5902083333333333,1.9673611111111111
5700,Mihalt,0.6737671232876712,0.6737671232876712,2.245890410958904,2.245890410958904,8.983561643835616,0.44917808219178085,0.6737671232876712,2.245890410958904
5755,Miraslau,0.4301351351351351,0.4301351351351351,1.4337837837837837,1.4337837837837837,5.735135135135135,0.28675675675675677,0.4301351351351351,1.4337837837837837
5826,Mogos,0.1624,0.1624,0.5413333333333333,0.5413333333333333,2.1653333333333333,0.10826666666666666,0.1624,0.5413333333333333
6048,Noslac,0.3586184210526316,0.3586184210526316,1.1953947368421052,1.1953947368421052,4.781578947368421,0.23907894736842106,0.3586184210526316,1.1953947368421052
6119,Ocolis,0.11493506493506493,0.11493506493506493,0.38311688311688313,0.38311688311688313,1.5324675324675325,0.07662337662337662,0.11493506493506493,0.38311688311688313
6164,Ohaba,0.12980769230769232,0.12980769230769232,0.4326923076923077,0.4326923076923077,1.7307692307692308,0.08653846153846154,0.12980769230769232,0.4326923076923077
6217,Pianu,0.685632911392405,0.685632911392405,2.2854430379746837,2.2854430379746837,9.141772151898735,0.4570886075949367,0.685632911392405,2.2854430379746837
6271,Poiana Vadului,0.208125,0.208125,0.69375,0.69375,2.775,0.13875,0.208125,0.69375
6397,Ponor,0.10666666666666667,0.10666666666666667,0.35555555555555557,0.35555555555555557,1.4222222222222223,0.07111111111111111,0.10666666666666667,0.35555555555555557
6468,Posaga,0.1948170731707317,0.1948170731707317,0.649390243902439,0.649390243902439,2.597560975609756,0.1298780487804878,0.1948170731707317,0.649390243902439
6547,Radesti,0.23981927710843373,0.23981927710843373,0.7993975903614458,0.7993975903614458,3.197590361445783,0.15987951807228915,0.23981927710843373,0.7993975903614458
6592,Rametea,0.18767857142857142,0.18767857142857142,0.6255952380952381,0.6255952380952381,2.5023809523809524,0.12511904761904763,0.18767857142857142,0.6255952380952381
6627,Ramet,0.09564705882352942,0.09564705882352942,0.31882352941176473,0.31882352941176473,1.275294117647059,0.06376470588235295,0.09564705882352942,0.31882352941176473
6761,Rosia Montana,0.5007558139534883,0.5007558139534883,1.669186046511628,1.669186046511628,6.676744186046512,0.33383720930232563,0.5007558139534883,1.669186046511628
6930,Rosia De Secas,0.2760344827586207,0.2760344827586207,0.9201149425287356,0.9201149425287356,3.6804597701149424,0.18402298850574714,0.2760344827586207,0.9201149425287356
6976,Salciua,0.2640340909090909,0.2640340909090909,0.8801136363636364,0.8801136363636364,3.5204545454545455,0.17602272727272728,0.2640340909090909,0.8801136363636364
7044,Salistea,0.3967415730337079,0.3967415730337079,1.3224719101123596,1.3224719101123596,5.289887640449439,0.2644943820224719,0.3967415730337079,1.3224719101123596
7099,Sasciori,1.0698333333333334,1.0698333333333334,3.5661111111111112,3.5661111111111112,14.264444444444445,0.7132222222222222,1.0698333333333334,3.5661111111111112
7197,Scarisoara,0.27725274725274723,0.27725274725274723,0.9241758241758242,0.9241758241758242,3.696703296703297,0.18483516483516482,0.27725274725274723,0.9241758241758242
7348,Sancel,0.44070652173913044,0.44070652173913044,1.4690217391304348,1.4690217391304348,5.876086956521739,0.29380434782608694,0.44070652173913044,1.4690217391304348
7384,Santimbru,0.48693548387096774,0.48693548387096774,1.6231182795698924,1.6231182795698924,6.49247311827957,0.32462365591397846,0.48693548387096774,1.6231182795698924
7446,Sohodol,0.28675531914893615,0.28675531914893615,0.9558510638297872,0.9558510638297872,3.823404255319149,0.19117021276595744,0.28675531914893615,0.9558510638297872
7767,Stremt,0.39142105263157895,0.39142105263157895,1.3047368421052632,1.3047368421052632,5.218947368421053,0.26094736842105265,0.39142105263157895,1.3047368421052632
7810,Sibot,0.385,0.385,1.2833333333333334,1.2833333333333334,5.133333333333334,0.25666666666666665,0.385,1.2833333333333334
7865,Sona,0.6855154639175258,0.6855154639175258,2.2850515463917525,2.2850515463917525,9.14020618556701,0.4570103092783505,0.6855154639175258,2.2850515463917525
7945,Spring,0.39658163265306123,0.39658163265306123,1.3219387755102041,1.3219387755102041,5.2877551020408164,0.2643877551020409,0.39658163265306123,1.3219387755102041
8014,Sugag,0.44136363636363635,0.44136363636363635,1.4712121212121212,1.4712121212121212,5.884848484848485,0.29424242424242425,0.44136363636363635,1.4712121212121212
8096,Oras Teius,1.1278499999999998,1.1278499999999998,3.7595,3.7595,15.038,0.7519,1.1278499999999998,3.7595
